epochs 1 | Steps 1500 | total loss : 1485048.625
epochs 1 | Steps 1520 | total loss : 1501899.375
epochs 1 | Steps 1540 | total loss : 1518644.125
epochs 1 | Steps 1560 | total loss : 1535432.75
epochs 1 | Steps 1580 | total loss : 1552022.5
epochs 1 | Steps 1600 | total loss : 1568688.25
epochs 1 | Steps 1620 | total loss : 1585243.0
epochs 1 | Steps 1640 | total loss : 1601976.375
epochs 1 | Steps 1660 | total loss : 1618484.75
epochs 1 | Steps 1680 | total loss : 1634917.875
epochs 1 | Steps 1700 | total loss : 1651319.75
epochs 1 | Steps 1720 | total loss : 1668103.625
epochs 1 | Steps 1740 | total loss : 1684239.0
epochs 1 | Steps 1760 | total loss : 1700832.625
epochs 1 | Steps 1780 | total loss : 1717454.0
epochs 1 | Steps 1800 | total loss : 1733662.375
epochs 1 | Steps 1820 | total loss : 1750347.625
epochs 1 | Steps 1840 | total loss : 1766659.75
epochs 1 | Steps 1860 | total loss : 1783345.375
HBox(children=(IntProgress(value=0, max=447), HTML(value='')))
epochs 1 | Steps 1900 | total loss : 1815233.375
epochs 1 | Steps 1920 | total loss : 1831553.25
epochs 1 | Steps 1940 | total loss : 1848198.0
epochs 1 | Steps 1960 | total loss : 1864553.625
epochs 1 | Steps 1980 | total loss : 1880861.75
epochs 1 | Steps 2000 | total loss : 1897301.875
epochs 1 | Steps 2020 | total loss : 1913651.25
epochs 1 | Steps 2040 | total loss : 1929747.375
epochs 1 | Steps 2060 | total loss : 1945917.25
epochs 1 | Steps 2080 | total loss : 1962331.375
epochs 1 | Steps 2100 | total loss : 1978887.0
epochs 1 | Steps 2120 | total loss : 1995432.5
epochs 1 | Steps 2140 | total loss : 2011565.125
epochs 1 | Steps 2160 | total loss : 2027902.125
epochs 1 | Steps 2180 | total loss : 2044260.625
epochs 1 | Steps 2200 | total loss : 2060478.125
epochs 1 | Steps 2220 | total loss : 2076625.25
epochs 1 | Steps 2240 | total loss : 2092641.625
epochs 1 | Steps 2260 | total loss : 2108808.5
epochs 1 | Steps 2280 | total loss : 2125081.0
epochs 1 | Steps 2300 | total loss : 2141302.0
epochs 1 | Steps 2320 | total loss : 2157433.5
HBox(children=(IntProgress(value=0, max=297), HTML(value='')))
epochs 1 | Steps 2340 | total loss : 2172696.5
epochs 1 | Steps 2360 | total loss : 2188876.75
epochs 1 | Steps 2380 | total loss : 2205308.5
epochs 1 | Steps 2400 | total loss : 2221466.0
epochs 1 | Steps 2420 | total loss : 2237827.5
epochs 1 | Steps 2440 | total loss : 2254355.0
epochs 1 | Steps 2460 | total loss : 2270549.25
epochs 1 | Steps 2480 | total loss : 2286932.0
epochs 1 | Steps 2500 | total loss : 2303057.0
epochs 1 | Steps 2520 | total loss : 2319598.5
epochs 1 | Steps 2540 | total loss : 2335725.0
epochs 1 | Steps 2560 | total loss : 2352168.75
epochs 1 | Steps 2580 | total loss : 2368027.5
epochs 1 | Steps 2600 | total loss : 2384238.5
epochs 1 | Steps 2620 | total loss : 2400394.0
HBox(children=(IntProgress(value=0, max=89), HTML(value='')))
epochs 1 | Steps 2640 | total loss : 2415559.5
epochs 1 | Steps 2660 | total loss : 2431593.25
epochs 1 | Steps 2680 | total loss : 2447316.75
epochs 1 | Steps 2700 | total loss : 2463212.5

HBox(children=(IntProgress(value=0, description='MUSIC', max=7, style=ProgressStyle(description_width='initial')), HTML(value='')))
HBox(children=(IntProgress(value=0, max=541), HTML(value='')))
epochs 2 | Steps 20 | total loss : 15801.841796875
epochs 2 | Steps 40 | total loss : 31567.6953125
epochs 2 | Steps 60 | total loss : 47423.51171875
epochs 2 | Steps 80 | total loss : 63272.609375
epochs 2 | Steps 100 | total loss : 78800.421875
epochs 2 | Steps 120 | total loss : 94321.8046875
epochs 2 | Steps 140 | total loss : 110311.3984375
epochs 2 | Steps 160 | total loss : 126305.8046875
epochs 2 | Steps 180 | total loss : 142043.09375
epochs 2 | Steps 200 | total loss : 157856.921875
epochs 2 | Steps 220 | total loss : 173498.5
epochs 2 | Steps 240 | total loss : 188966.25
epochs 2 | Steps 260 | total loss : 204587.328125
epochs 2 | Steps 280 | total loss : 219933.625
epochs 2 | Steps 300 | total loss : 235493.453125
epochs 2 | Steps 320 | total loss : 251239.59375
epochs 2 | Steps 340 | total loss : 266811.5625
epochs 2 | Steps 360 | total loss : 282458.46875
epochs 2 | Steps 380 | total loss : 297998.15625
epochs 2 | Steps 400 | total loss : 313422.78125
epochs 2 | Steps 420 | total loss : 329118.15625
epochs 2 | Steps 440 | total loss : 344801.84375
epochs 2 | Steps 460 | total loss : 360078.59375
epochs 2 | Steps 480 | total loss : 375790.03125
epochs 2 | Steps 500 | total loss : 391311.90625
epochs 2 | Steps 520 | total loss : 406839.90625
epochs 2 | Steps 540 | total loss : 422496.53125
HBox(children=(IntProgress(value=0, max=462), HTML(value='')))
epochs 2 | Steps 560 | total loss : 437841.3125
epochs 2 | Steps 580 | total loss : 454054.96875
epochs 2 | Steps 600 | total loss : 470098.90625
epochs 2 | Steps 620 | total loss : 486171.40625
epochs 2 | Steps 640 | total loss : 502174.0625
epochs 2 | Steps 660 | total loss : 518333.71875
epochs 2 | Steps 680 | total loss : 534423.4375
epochs 2 | Steps 700 | total loss : 550706.0
epochs 2 | Steps 720 | total loss : 566797.0
epochs 2 | Steps 740 | total loss : 582869.8125
epochs 2 | Steps 760 | total loss : 598989.25
epochs 2 | Steps 780 | total loss : 615141.5
epochs 2 | Steps 800 | total loss : 631418.375
epochs 2 | Steps 820 | total loss : 647619.1875
epochs 2 | Steps 840 | total loss : 663797.0625
epochs 2 | Steps 860 | total loss : 679897.75
epochs 2 | Steps 880 | total loss : 696104.4375
epochs 2 | Steps 900 | total loss : 711984.875
epochs 2 | Steps 920 | total loss : 728061.625
epochs 2 | Steps 940 | total loss : 744108.5625
epochs 2 | Steps 960 | total loss : 760425.9375
epochs 2 | Steps 980 | total loss : 776497.4375
epochs 2 | Steps 1000 | total loss : 792345.4375
HBox(children=(IntProgress(value=0, max=375), HTML(value='')))
epochs 2 | Steps 1020 | total loss : 806587.0625
epochs 2 | Steps 1040 | total loss : 822258.9375
epochs 2 | Steps 1060 | total loss : 837604.4375
epochs 2 | Steps 1080 | total loss : 853158.5
epochs 2 | Steps 1100 | total loss : 868756.9375
epochs 2 | Steps 1120 | total loss : 884602.5
epochs 2 | Steps 1140 | total loss : 900251.8125
epochs 2 | Steps 1160 | total loss : 915753.0
epochs 2 | Steps 1180 | total loss : 931277.6875
epochs 2 | Steps 1200 | total loss : 946791.25
epochs 2 | Steps 1220 | total loss : 961969.375
epochs 2 | Steps 1240 | total loss : 977223.25
epochs 2 | Steps 1260 | total loss : 992727.9375
epochs 2 | Steps 1280 | total loss : 1008400.375
epochs 2 | Steps 1300 | total loss : 1023922.5
epochs 2 | Steps 1320 | total loss : 1039441.375
epochs 2 | Steps 1340 | total loss : 1054797.875
epochs 2 | Steps 1360 | total loss : 1070193.875
HBox(children=(IntProgress(value=0, max=403), HTML(value='')))
epochs 2 | Steps 1380 | total loss : 1084932.375
epochs 2 | Steps 1400 | total loss : 1100684.875
epochs 2 | Steps 1420 | total loss : 1116150.625
epochs 2 | Steps 1440 | total loss : 1131430.125
epochs 2 | Steps 1460 | total loss : 1146841.625
epochs 2 | Steps 1480 | total loss : 1162438.125
epochs 2 | Steps 1500 | total loss : 1177915.625
epochs 2 | Steps 1520 | total loss : 1193618.5
epochs 2 | Steps 1540 | total loss : 1208948.375
epochs 2 | Steps 1560 | total loss : 1224077.75
epochs 2 | Steps 1580 | total loss : 1239408.875
epochs 2 | Steps 1600 | total loss : 1254753.25
epochs 2 | Steps 1620 | total loss : 1269947.25
epochs 2 | Steps 1640 | total loss : 1285528.75
epochs 2 | Steps 1660 | total loss : 1301071.0
epochs 2 | Steps 1680 | total loss : 1316410.25
epochs 2 | Steps 1700 | total loss : 1331452.25
epochs 2 | Steps 1720 | total loss : 1346655.375
epochs 2 | Steps 1740 | total loss : 1361811.0
epochs 2 | Steps 1760 | total loss : 1377481.0
epochs 2 | Steps 1780 | total loss : 1392746.625
HBox(children=(IntProgress(value=0, max=331), HTML(value='')))
epochs 2 | Steps 1800 | total loss : 1407393.0
epochs 2 | Steps 1820 | total loss : 1422586.75
epochs 2 | Steps 1840 | total loss : 1437825.25
epochs 2 | Steps 1860 | total loss : 1452781.125
epochs 2 | Steps 1880 | total loss : 1467827.25
epochs 2 | Steps 1900 | total loss : 1482982.5
epochs 2 | Steps 1920 | total loss : 1498242.125
epochs 2 | Steps 1940 | total loss : 1513509.375
epochs 2 | Steps 1960 | total loss : 1528784.0
epochs 2 | Steps 1980 | total loss : 1544065.875
epochs 2 | Steps 2000 | total loss : 1559168.375
epochs 2 | Steps 2020 | total loss : 1574356.625
epochs 2 | Steps 2040 | total loss : 1589584.875
epochs 2 | Steps 2060 | total loss : 1604574.0
epochs 2 | Steps 2080 | total loss : 1620064.375
epochs 2 | Steps 2100 | total loss : 1634980.375
HBox(children=(IntProgress(value=0, max=492), HTML(value='')))
epochs 2 | Steps 2120 | total loss : 1649348.5
epochs 2 | Steps 2140 | total loss : 1664409.25
epochs 2 | Steps 2160 | total loss : 1679059.75
epochs 2 | Steps 2180 | total loss : 1694010.75
epochs 2 | Steps 2200 | total loss : 1708482.125
epochs 2 | Steps 2220 | total loss : 1723308.25
epochs 2 | Steps 2240 | total loss : 1737887.25
epochs 2 | Steps 2260 | total loss : 1752683.375
epochs 2 | Steps 2280 | total loss : 1767589.25
epochs 2 | Steps 2300 | total loss : 1782445.375
epochs 2 | Steps 2320 | total loss : 1797062.5
epochs 2 | Steps 2340 | total loss : 1811847.625
epochs 2 | Steps 2360 | total loss : 1826692.375
epochs 2 | Steps 2380 | total loss : 1841345.25
epochs 2 | Steps 2400 | total loss : 1856181.75
epochs 2 | Steps 2420 | total loss : 1870907.875
epochs 2 | Steps 2440 | total loss : 1885784.0
epochs 2 | Steps 2460 | total loss : 1900390.125
epochs 2 | Steps 2480 | total loss : 1915338.75
